day,state,num_cases
2020-3-11,NY,217
2020-3-12,NY,326
2020-3-13,NY,421
2020-3-14,NY,610
2020-3-15,NY,732
2020-3-16,NY,950
2020-3-17,NY,1375
2020-3-18,NY,2387
2020-3-19,NY,4161
2020-3-20,NY,7113
2020-3-21,NY,10371
2020-3-22,NY,15188
2020-3-23,NY,20899
2020-3-24,NY,25703
2020-3-25,NY,33116
2020-3-26,NY,39057
2020-3-27,NY,44745
2020-3-28,NY,53516
2020-3-29,NY,59783
2020-3-30,NY,67462
2020-3-31,NY,76211
2020-4-1,NY,84363
2020-4-2,NY,92971
2020-4-3,NY,103651
2020-4-4,NY,115963
2020-4-5,NY,124085
2020-4-6,NY,132061
2020-4-7,NY,141703
2020-4-8,NY,151271
2020-4-9,NY,162036
2020-4-10,NY,172830
2020-4-11,NY,182990
2020-4-12,NY,191425
2020-4-13,NY,197973
2020-4-14,NY,205375
2020-4-15,NY,217130
2020-4-16,NY,225761
2020-4-17,NY,233293
2020-4-18,NY,240542
2020-4-19,NY,246741
2020-4-20,NY,251608
2020-4-21,NY,255932
2020-4-22,NY,261591
2020-4-23,NY,267932
2020-4-24,NY,276218
2020-4-25,NY,286901
2020-4-26,NY,292914
2020-4-27,NY,296991
2020-4-28,NY,300276
2020-4-29,NY,304994
2020-4-30,NY,309696
2020-5-1,NY,313575
2020-5-2,NY,318134
2020-5-3,NY,321833
2020-5-4,NY,324357
2020-5-5,NY,326659
2020-5-6,NY,329405
2020-5-7,NY,332931
2020-5-8,NY,335804
2020-5-9,NY,338519
2020-5-10,NY,340657
2020-1-25,FL,0
2020-1-26,FL,0
2020-1-27,FL,0
2020-1-28,FL,0
2020-1-29,FL,0
2020-1-30,FL,0
2020-1-31,FL,0
2020-2-1,FL,0
2020-2-2,FL,0
2020-2-3,FL,0
2020-2-4,FL,0
2020-2-5,FL,0
2020-2-6,FL,0
2020-2-7,FL,0
2020-2-8,FL,0
2020-2-9,FL,0
2020-2-10,FL,0
2020-2-11,FL,0
2020-2-12,FL,0
2020-2-13,FL,0
2020-2-14,FL,0
2020-2-15,FL,0
2020-2-16,FL,0
2020-2-17,FL,0
2020-2-18,FL,0
2020-2-19,FL,0
2020-2-20,FL,0
2020-2-21,FL,0
2020-2-22,FL,0
2020-2-23,FL,0
2020-2-24,FL,0
2020-2-25,FL,0
2020-2-26,FL,0
2020-2-27,FL,0
2020-2-28,FL,0
2020-2-29,FL,0
2020-3-1,FL,2
2020-3-2,FL,2
2020-3-3,FL,3
2020-3-4,FL,3
2020-3-5,FL,4
2020-3-6,FL,7
2020-3-7,FL,12
2020-3-8,FL,13
2020-3-9,FL,14
2020-3-10,FL,23
2020-3-11,FL,26
2020-3-12,FL,46
2020-3-13,FL,70
2020-3-14,FL,70
2020-3-15,FL,109
2020-3-16,FL,141
2020-3-17,FL,210
2020-3-18,FL,326
2020-3-19,FL,434
2020-3-20,FL,564
2020-3-21,FL,764
2020-3-22,FL,1000
2020-3-23,FL,1222
2020-3-24,FL,1467
2020-3-25,FL,1965
2020-3-26,FL,2477
2020-3-27,FL,3198
2020-3-28,FL,4038
2020-3-29,FL,4942
2020-3-30,FL,5694
2020-3-31,FL,6741
2020-4-1,FL,7765
2020-4-2,FL,9000
2020-4-3,FL,10260
2020-4-4,FL,11537
2020-4-5,FL,12342
2020-4-6,FL,13621
2020-4-7,FL,14739
2020-4-8,FL,15690
2020-4-9,FL,16819
2020-4-10,FL,17960
2020-4-11,FL,18978
2020-4-12,FL,19855
2020-4-13,FL,21011
2020-4-14,FL,21620
2020-4-15,FL,22526
2020-4-16,FL,23332
2020-4-17,FL,24745
2020-4-18,FL,25484
2020-4-19,FL,26306
2020-4-20,FL,27050
2020-4-21,FL,27861
2020-4-22,FL,28301
2020-4-23,FL,29640
2020-4-24,FL,30525
2020-4-25,FL,30831
2020-4-26,FL,31520
2020-4-27,FL,32130
2020-4-28,FL,32838
2020-4-29,FL,33185
2020-4-30,FL,33683
2020-5-1,FL,34720
2020-5-2,FL,35455
2020-5-3,FL,36070
2020-5-4,FL,36889
2020-5-5,FL,37431
2020-5-6,FL,37994
2020-5-7,FL,38820
2020-5-8,FL,39191
2020-5-9,FL,39993
2020-5-10,FL,40588
2020-1-25,CA,0
2020-1-26,CA,2
2020-1-27,CA,2
2020-1-28,CA,2
2020-1-29,CA,2
2020-1-30,CA,2
2020-1-31,CA,3
2020-2-1,CA,3
2020-2-2,CA,6
2020-2-3,CA,6
2020-2-4,CA,6
2020-2-5,CA,6
2020-2-6,CA,6
2020-2-7,CA,6
2020-2-8,CA,6
2020-2-9,CA,6
2020-2-10,CA,7
2020-2-11,CA,7
2020-2-12,CA,7
2020-2-13,CA,7
2020-2-14,CA,7
2020-2-15,CA,7
2020-2-16,CA,7
2020-2-17,CA,7
2020-2-18,CA,7
2020-2-19,CA,7
2020-2-20,CA,8
2020-2-21,CA,9
2020-2-22,CA,9
2020-2-23,CA,9
2020-2-24,CA,11
2020-2-25,CA,11
2020-2-26,CA,26
2020-2-27,CA,26
2020-2-28,CA,27
2020-2-29,CA,28
2020-3-1,CA,33
2020-3-2,CA,38
