day,state,num_deaths
2020-3-26,OR,11
2020-3-27,OR,12
2020-3-28,OR,13
2020-3-29,OR,13
2020-3-30,OR,16
2020-3-31,OR,18
2020-4-1,OR,19
2020-4-2,OR,21
2020-4-3,OR,22
2020-4-4,OR,26
2020-4-5,OR,27
2020-4-6,OR,29
2020-4-7,OR,33
2020-4-8,OR,38
2020-4-9,OR,44
2020-4-10,OR,48
2020-4-11,OR,51
2020-4-12,OR,52
2020-4-13,OR,53
2020-4-14,OR,55
2020-4-15,OR,58
2020-4-16,OR,64
2020-4-17,OR,70
2020-4-18,OR,72
2020-4-19,OR,74
2020-4-20,OR,75
2020-4-21,OR,78
2020-4-22,OR,78
2020-4-23,OR,83
2020-4-24,OR,86
2020-4-25,OR,87
2020-4-26,OR,91
2020-4-27,OR,92
2020-4-28,OR,99
2020-4-29,OR,101
2020-4-30,OR,103
2020-5-1,OR,104
2020-5-2,OR,109
2020-5-3,OR,109
2020-5-4,OR,109
2020-5-5,OR,113
2020-5-6,OR,115
2020-5-7,OR,121
2020-5-8,OR,124
2020-5-9,OR,127
2020-5-10,OR,127
2020-1-25,DE,0
2020-1-26,DE,0
2020-1-27,DE,0
2020-1-28,DE,0
2020-1-29,DE,0
2020-1-30,DE,0
2020-1-31,DE,0
2020-2-1,DE,0
2020-2-2,DE,0
2020-2-3,DE,0
2020-2-4,DE,0
2020-2-5,DE,0
2020-2-6,DE,0
2020-2-7,DE,0
2020-2-8,DE,0
2020-2-9,DE,0
2020-2-10,DE,0
2020-2-11,DE,0
2020-2-12,DE,0
2020-2-13,DE,0
2020-2-14,DE,0
2020-2-15,DE,0
2020-2-16,DE,0
2020-2-17,DE,0
2020-2-18,DE,0
2020-2-19,DE,0
2020-2-20,DE,0
2020-2-21,DE,0
2020-2-22,DE,0
2020-2-23,DE,0
2020-2-24,DE,0
2020-2-25,DE,0
2020-2-26,DE,0
2020-2-27,DE,0
2020-2-28,DE,0
2020-2-29,DE,0
2020-3-1,DE,0
2020-3-2,DE,0
2020-3-3,DE,0
2020-3-4,DE,0
2020-3-5,DE,0
2020-3-6,DE,0
2020-3-7,DE,0
2020-3-8,DE,0
2020-3-9,DE,0
2020-3-10,DE,0
2020-3-11,DE,0
2020-3-12,DE,0
2020-3-13,DE,0
2020-3-14,DE,0
2020-3-15,DE,0
2020-3-16,DE,0
2020-3-17,DE,0
2020-3-18,DE,0
2020-3-19,DE,0
2020-3-20,DE,0
2020-3-21,DE,0
2020-3-22,DE,0
2020-3-23,DE,0
2020-3-24,DE,0
2020-3-25,DE,0
2020-3-26,DE,1
2020-3-27,DE,2
2020-3-28,DE,5
2020-3-29,DE,6
2020-3-30,DE,7
2020-3-31,DE,10
2020-4-1,DE,11
2020-4-2,DE,12
2020-4-3,DE,14
2020-4-4,DE,14
2020-4-5,DE,14
2020-4-6,DE,15
2020-4-7,DE,16
2020-4-8,DE,19
2020-4-9,DE,23
2020-4-10,DE,32
2020-4-11,DE,33
2020-4-12,DE,35
2020-4-13,DE,41
2020-4-14,DE,43
2020-4-15,DE,46
2020-4-16,DE,52
2020-4-17,DE,61
2020-4-18,DE,67
2020-4-19,DE,67
2020-4-20,DE,72
2020-4-21,DE,82
2020-4-22,DE,89
2020-4-23,DE,92
2020-4-24,DE,100
2020-4-25,DE,112
2020-4-26,DE,120
2020-4-27,DE,125
2020-4-28,DE,137
2020-4-29,DE,144
2020-4-30,DE,152
2020-5-1,DE,159
2020-5-2,DE,168
2020-5-3,DE,177
2020-5-4,DE,182
2020-5-5,DE,187
2020-5-6,DE,193
2020-5-7,DE,202
2020-5-8,DE,213
2020-5-9,DE,221
2020-5-10,DE,224
2020-1-25,NY,0
2020-1-26,NY,0
2020-1-27,NY,0
2020-1-28,NY,0
2020-1-29,NY,0
2020-1-30,NY,0
2020-1-31,NY,0
2020-2-1,NY,0
2020-2-2,NY,0
2020-2-3,NY,0
2020-2-4,NY,0
2020-2-5,NY,0
2020-2-6,NY,0
2020-2-7,NY,0
2020-2-8,NY,0
2020-2-9,NY,0
2020-2-10,NY,0
2020-2-11,NY,0
2020-2-12,NY,0
2020-2-13,NY,0
2020-2-14,NY,0
2020-2-15,NY,0
2020-2-16,NY,0
2020-2-17,NY,0
2020-2-18,NY,0
2020-2-19,NY,0
2020-2-20,NY,0
2020-2-21,NY,0
2020-2-22,NY,0
2020-2-23,NY,0
2020-2-24,NY,0
2020-2-25,NY,0
2020-2-26,NY,0
2020-2-27,NY,0
2020-2-28,NY,0
2020-2-29,NY,0
2020-3-1,NY,0
2020-3-2,NY,0
2020-3-3,NY,0
2020-3-4,NY,0
2020-3-5,NY,0
2020-3-6,NY,0
2020-3-7,NY,0
2020-3-8,NY,0
2020-3-9,NY,0
2020-3-10,NY,0
2020-3-11,NY,0
2020-3-12,NY,0
2020-3-13,NY,0
2020-3-14,NY,2
2020-3-15,NY,6
2020-3-16,NY,10
2020-3-17,NY,18
2020-3-18,NY,32
2020-3-19,NY,39
2020-3-20,NY,68
2020-3-21,NY,95
2020-3-22,NY,142
2020-3-23,NY,183
2020-3-24,NY,256
2020-3-25,NY,375
2020-3-26,NY,502
2020-3-27,NY,645
2020-3-28,NY,935
2020-3-29,NY,1180
2020-3-30,NY,1512
2020-3-31,NY,1929
2020-4-1,NY,2415
2020-4-2,NY,2963
2020-4-3,NY,3716
2020-4-4,NY,4535
2020-4-5,NY,5335
2020-4-6,NY,6130
2020-4-7,NY,7185
2020-4-8,NY,8138
2020-4-9,NY,9166
2020-4-10,NY,10162
2020-4-11,NY,11159
2020-4-12,NY,12116
2020-4-13,NY,12998
2020-4-14,NY,14001
2020-4-15,NY,14937
2020-4-16,NY,15669
2020-4-17,NY,16473
2020-4-18,NY,17141
2020-4-19,NY,17793
2020-4-20,NY,18412
2020-4-21,NY,19040
2020-4-22,NY,19647
2020-4-23,NY,20212
2020-4-24,NY,20759
2020-4-25,NY,21326
2020-4-26,NY,21804
2020-4-27,NY,22267
2020-4-28,NY,22777
2020-4-29,NY,23287
2020-4-30,NY,23616
2020-5-1,NY,23841
2020-5-2,NY,24035
2020-5-3,NY,24576
2020-5-4,NY,24788
2020-5-5,NY,25028
2020-5-6,NY,25956
2020-5-7,NY,26206
2020-5-8,NY,26358
2020-5-9,NY,26584
2020-5-10,NY,26798
2020-1-25,FL,0
2020-1-26,FL,0
2020-1-27,FL,0
2020-1-28,FL,0
2020-1-29,FL,0
2020-1-30,FL,0
2020-1-31,FL,0
2020-2-1,FL,0
2020-2-2,FL,0
2020-2-3,FL,0
2020-2-4,FL,0
2020-2-5,FL,0
2020-2-6,FL,0
2020-2-7,FL,0
2020-2-8,FL,0
2020-2-9,FL,0
2020-2-10,FL,0
2020-2-11,FL,0
2020-2-12,FL,0
2020-2-13,FL,0
2020-2-14,FL,0
2020-2-15,FL,0
2020-2-16,FL,0
