day,state,death_rates
2020-5-1,AK,0.019337016574585635
2020-5-2,AK,0.01928374655647383
2020-5-3,AK,0.01912568306010929
2020-5-4,AK,0.019021739130434784
2020-5-5,AK,0.018970189701897018
2020-5-6,AK,0.021621621621621623
2020-5-7,AK,0.021447721179624665
2020-5-8,AK,0.02127659574468085
2020-5-9,AK,0.021220159151193633
2020-5-10,AK,0.021164021164021163
2020-1-25,IN,0
2020-1-26,IN,0
2020-1-27,IN,0
2020-1-28,IN,0
2020-1-29,IN,0
2020-1-30,IN,0
2020-1-31,IN,0
2020-2-1,IN,0
2020-2-2,IN,0
2020-2-3,IN,0
2020-2-4,IN,0
2020-2-5,IN,0
2020-2-6,IN,0
2020-2-7,IN,0
2020-2-8,IN,0
2020-2-9,IN,0
2020-2-10,IN,0
2020-2-11,IN,0
2020-2-12,IN,0
2020-2-13,IN,0
2020-2-14,IN,0
2020-2-15,IN,0
2020-2-16,IN,0
2020-2-17,IN,0
2020-2-18,IN,0
2020-2-19,IN,0
2020-2-20,IN,0
2020-2-21,IN,0
2020-2-22,IN,0
2020-2-23,IN,0
2020-2-24,IN,0
2020-2-25,IN,0
2020-2-26,IN,0
2020-2-27,IN,0
2020-2-28,IN,0
2020-2-29,IN,0
2020-3-1,IN,0
2020-3-2,IN,0
2020-3-3,IN,0
2020-3-4,IN,0
2020-3-5,IN,0
2020-3-6,IN,0.0
2020-3-7,IN,0.0
2020-3-8,IN,0.0
2020-3-9,IN,0.0
2020-3-10,IN,0.0
2020-3-11,IN,0.0
2020-3-12,IN,0.0
2020-3-13,IN,0.0
2020-3-14,IN,0.0
2020-3-15,IN,0.0
2020-3-16,IN,0.041666666666666664
2020-3-17,IN,0.06666666666666667
2020-3-18,IN,0.05128205128205128
2020-3-19,IN,0.03571428571428571
2020-3-20,IN,0.0379746835443038
2020-3-21,IN,0.031746031746031744
2020-3-22,IN,0.029850746268656716
2020-3-23,IN,0.02702702702702703
2020-3-24,IN,0.03278688524590164
2020-3-25,IN,0.029227557411273485
2020-3-26,IN,0.027439024390243903
2020-3-27,IN,0.026476578411405296
2020-3-28,IN,0.025162337662337664
2020-3-29,IN,0.021136063408190225
2020-3-30,IN,0.019574944071588368
2020-3-31,IN,0.02315886984715146
2020-4-1,IN,0.02535101404056162
2020-4-2,IN,0.025657894736842105
2020-4-3,IN,0.029659784821168943
2020-4-4,IN,0.029329962073324906
2020-4-5,IN,0.02877860865624292
2020-4-6,IN,0.028450363196125907
2020-4-7,IN,0.03141456328309424
2020-4-8,IN,0.03415783274440518
2020-4-9,IN,0.038734057628719884
2020-4-10,IN,0.04343419719125525
2020-4-11,IN,0.04438466711499664
2020-4-12,IN,0.043264379414732594
2020-4-13,IN,0.04249635745507528
2020-4-14,IN,0.04538524686290606
2020-4-15,IN,0.048687883863763264
2020-4-16,IN,0.04998952001676797
2020-4-17,IN,0.05111286192633445
2020-4-18,IN,0.05121699088431538
2020-4-19,IN,0.05013380909901873
2020-4-20,IN,0.04869074105767585
2020-4-21,IN,0.05207902785814665
2020-4-22,IN,0.0531435922173983
2020-4-23,IN,0.05414525653807807
2020-4-24,IN,0.05416666666666667
2020-4-25,IN,0.05453282389718652
2020-4-26,IN,0.054156674660271784
2020-4-27,IN,0.05775546879841358
2020-4-28,IN,0.05910743013763928
2020-4-29,IN,0.061175254178873
2020-4-30,IN,0.061550361898447425
2020-5-1,IN,0.062034739454094295
2020-5-2,IN,0.06261144225380814
2020-5-3,IN,0.061479251985987075
2020-5-4,IN,0.06060896667465836
2020-5-5,IN,0.061896092984175886
2020-5-6,IN,0.06178766938885399
2020-5-7,IN,0.06163368494464301
2020-5-8,IN,0.06126164267569856
2020-5-9,IN,0.061471182804571145
2020-5-10,IN,0.0612186903747006
2020-1-25,UT,0
2020-1-26,UT,0
2020-1-27,UT,0
2020-1-28,UT,0
2020-1-29,UT,0
2020-1-30,UT,0
2020-1-31,UT,0
2020-2-1,UT,0
2020-2-2,UT,0
2020-2-3,UT,0
2020-2-4,UT,0
2020-2-5,UT,0
2020-2-6,UT,0
2020-2-7,UT,0
2020-2-8,UT,0
2020-2-9,UT,0
2020-2-10,UT,0
2020-2-11,UT,0
2020-2-12,UT,0
2020-2-13,UT,0
2020-2-14,UT,0
2020-2-15,UT,0
2020-2-16,UT,0
2020-2-17,UT,0
2020-2-18,UT,0
2020-2-19,UT,0
2020-2-20,UT,0
2020-2-21,UT,0
2020-2-22,UT,0
2020-2-23,UT,0
2020-2-24,UT,0
2020-2-25,UT,0.0
2020-2-26,UT,0.0
2020-2-27,UT,0.0
2020-2-28,UT,0.0
2020-2-29,UT,0.0
2020-3-1,UT,0.0
2020-3-2,UT,0.0
2020-3-3,UT,0.0
2020-3-4,UT,0.0
2020-3-5,UT,0.0
2020-3-6,UT,0.0
2020-3-7,UT,0.0
2020-3-8,UT,0.0
2020-3-9,UT,0.0
2020-3-10,UT,0.0
2020-3-11,UT,0.0
2020-3-12,UT,0.0
2020-3-13,UT,0.0
2020-3-14,UT,0.0
2020-3-15,UT,0.0
2020-3-16,UT,0.0
2020-3-17,UT,0.0
2020-3-18,UT,0.0
2020-3-19,UT,0.0
2020-3-20,UT,0.0
2020-3-21,UT,0.0
2020-3-22,UT,0.005494505494505495
2020-3-23,UT,0.0038910505836575876
2020-3-24,UT,0.003355704697986577
2020-3-25,UT,0.002890173410404624
2020-3-26,UT,0.0024875621890547263
2020-3-27,UT,0.004166666666666667
2020-3-28,UT,0.003289473684210526
2020-3-29,UT,0.0027816411682892906
2020-3-30,UT,0.004962779156327543
2020-3-31,UT,0.005636978579481398
2020-4-1,UT,0.00691699604743083
2020-4-2,UT,0.0064995357474466105
2020-4-3,UT,0.005608974358974359
2020-4-4,UT,0.005610098176718092
2020-4-5,UT,0.004944375772558714
2020-4-6,UT,0.007821901323706379
2020-4-7,UT,0.007484168105929764
2020-4-8,UT,0.006989247311827957
2020-4-9,UT,0.0065656565656565654
2020-4-10,UT,0.008083689966714217
2020-4-11,UT,0.008152173913043478
2020-4-12,UT,0.0078091106290672455
2020-4-13,UT,0.007601351351351352
2020-4-14,UT,0.007851239669421488
2020-4-15,UT,0.007846214201647704
2020-4-16,UT,0.007815407517677708
2020-4-17,UT,0.008176324209029506
2020-4-18,UT,0.00849762066621346
2020-4-19,UT,0.008791924454575058
2020-4-20,UT,0.008714596949891068
2020-4-21,UT,0.00969403211148137
2020-4-22,UT,0.009852216748768473
2020-4-23,UT,0.009665838166252416
2020-4-24,UT,0.010312004230565839
2020-4-25,UT,0.010379746835443038
2020-4-26,UT,0.009944215377152558
2020-4-27,UT,0.00967894239848914
2020-4-28,UT,0.01036150126640571
2020-4-29,UT,0.010002222716159146
2020-4-30,UT,0.009845890410958904
2020-5-1,UT,0.009525781735348933
2020-5-2,UT,0.009837382051796828
2020-5-3,UT,0.00966183574879227
2020-5-4,UT,0.00938790837401427
2020-5-5,UT,0.010277115066984768
2020-5-6,UT,0.010526315789473684
2020-5-7,UT,0.010656883298392733
2020-5-8,UT,0.010305794897786788
2020-5-9,UT,0.01081435359659184
