day,state,num_cases
2020-3-26,OR,50
2020-3-27,OR,98
2020-3-28,OR,65
2020-3-29,OR,69
2020-3-30,OR,58
2020-3-31,OR,84
2020-4-1,OR,46
2020-4-2,OR,90
2020-4-3,OR,73
2020-4-4,OR,100
2020-4-5,OR,69
2020-4-6,OR,64
2020-4-7,OR,49
2020-4-8,OR,58
2020-4-9,OR,82
2020-4-10,OR,50
2020-4-11,OR,76
2020-4-12,OR,80
2020-4-13,OR,57
2020-4-14,OR,49
2020-4-15,OR,30
2020-4-16,OR,73
2020-4-17,OR,49
2020-4-18,OR,59
2020-4-19,OR,66
2020-4-20,OR,46
2020-4-21,OR,46
2020-4-22,OR,57
2020-4-23,OR,68
2020-4-24,OR,50
2020-4-25,OR,76
2020-4-26,OR,58
2020-4-27,OR,43
2020-4-28,OR,31
2020-4-29,OR,61
2020-4-30,OR,64
2020-5-1,OR,69
2020-5-2,OR,56
2020-5-3,OR,45
2020-5-4,OR,79
2020-5-5,OR,80
2020-5-6,OR,77
2020-5-7,OR,73
2020-5-8,OR,79
2020-5-9,OR,92
2020-5-10,OR,68
2020-1-25,DE,0
2020-1-26,DE,0
2020-1-27,DE,0
2020-1-28,DE,0
2020-1-29,DE,0
2020-1-30,DE,0
2020-1-31,DE,0
2020-2-1,DE,0
2020-2-2,DE,0
2020-2-3,DE,0
2020-2-4,DE,0
2020-2-5,DE,0
2020-2-6,DE,0
2020-2-7,DE,0
2020-2-8,DE,0
2020-2-9,DE,0
2020-2-10,DE,0
2020-2-11,DE,0
2020-2-12,DE,0
2020-2-13,DE,0
2020-2-14,DE,0
2020-2-15,DE,0
2020-2-16,DE,0
2020-2-17,DE,0
2020-2-18,DE,0
2020-2-19,DE,0
2020-2-20,DE,0
2020-2-21,DE,0
2020-2-22,DE,0
2020-2-23,DE,0
2020-2-24,DE,0
2020-2-25,DE,0
2020-2-26,DE,0
2020-2-27,DE,0
2020-2-28,DE,0
2020-2-29,DE,0
2020-3-1,DE,0
2020-3-2,DE,0
2020-3-3,DE,0
2020-3-4,DE,0
2020-3-5,DE,0
2020-3-6,DE,0
2020-3-7,DE,0
2020-3-8,DE,0
2020-3-9,DE,0
2020-3-10,DE,0
2020-3-11,DE,0
2020-3-12,DE,3
2020-3-13,DE,0
2020-3-14,DE,0
2020-3-15,DE,3
2020-3-16,DE,1
2020-3-17,DE,8
2020-3-18,DE,10
2020-3-19,DE,4
2020-3-20,DE,9
2020-3-21,DE,6
2020-3-22,DE,11
2020-3-23,DE,31
2020-3-24,DE,17
2020-3-25,DE,15
2020-3-26,DE,24
2020-3-27,DE,22
2020-3-28,DE,49
2020-3-29,DE,18
2020-3-30,DE,32
2020-3-31,DE,55
2020-4-1,DE,49
2020-4-2,DE,25
2020-4-3,DE,57
2020-4-4,DE,143
2020-4-5,DE,80
2020-4-6,DE,110
2020-4-7,DE,145
2020-4-8,DE,188
2020-4-9,DE,93
2020-4-10,DE,117
2020-4-11,DE,153
2020-4-12,DE,146
2020-4-13,DE,136
2020-4-14,DE,165
2020-4-15,DE,88
2020-4-16,DE,61
2020-4-17,DE,248
2020-4-18,DE,215
2020-4-19,DE,0
2020-4-20,DE,207
2020-4-21,DE,186
2020-4-22,DE,269
2020-4-23,DE,108
2020-4-24,DE,134
2020-4-25,DE,134
2020-4-26,DE,458
2020-4-27,DE,128
2020-4-28,DE,413
2020-4-29,DE,80
2020-4-30,DE,79
2020-5-1,DE,184
2020-5-2,DE,120
2020-5-3,DE,170
2020-5-4,DE,80
2020-5-5,DE,83
2020-5-6,DE,407
2020-5-7,DE,161
2020-5-8,DE,172
2020-5-9,DE,166
2020-5-10,DE,170
2020-1-25,NY,0
2020-1-26,NY,0
2020-1-27,NY,0
2020-1-28,NY,0
2020-1-29,NY,0
2020-1-30,NY,0
2020-1-31,NY,0
2020-2-1,NY,0
2020-2-2,NY,0
2020-2-3,NY,0
2020-2-4,NY,0
2020-2-5,NY,0
2020-2-6,NY,0
2020-2-7,NY,0
2020-2-8,NY,0
2020-2-9,NY,0
2020-2-10,NY,0
2020-2-11,NY,0
2020-2-12,NY,0
2020-2-13,NY,0
2020-2-14,NY,0
2020-2-15,NY,0
2020-2-16,NY,0
2020-2-17,NY,0
2020-2-18,NY,0
2020-2-19,NY,0
2020-2-20,NY,0
2020-2-21,NY,0
2020-2-22,NY,0
2020-2-23,NY,0
2020-2-24,NY,0
2020-2-25,NY,0
2020-2-26,NY,0
2020-2-27,NY,0
2020-2-28,NY,0
2020-2-29,NY,0
2020-3-1,NY,0
2020-3-2,NY,0
2020-3-3,NY,1
2020-3-4,NY,9
2020-3-5,NY,11
2020-3-6,NY,22
2020-3-7,NY,45
2020-3-8,NY,17
2020-3-9,NY,36
2020-3-10,NY,31
2020-3-11,NY,44
2020-3-12,NY,109
2020-3-13,NY,95
2020-3-14,NY,189
2020-3-15,NY,122
2020-3-16,NY,218
2020-3-17,NY,425
2020-3-18,NY,1012
2020-3-19,NY,1774
2020-3-20,NY,2952
2020-3-21,NY,3258
2020-3-22,NY,4817
2020-3-23,NY,5711
2020-3-24,NY,4804
2020-3-25,NY,7413
2020-3-26,NY,5941
2020-3-27,NY,5688
2020-3-28,NY,8771
2020-3-29,NY,6267
2020-3-30,NY,7679
2020-3-31,NY,8749
2020-4-1,NY,8152
2020-4-2,NY,8608
2020-4-3,NY,10680
2020-4-4,NY,12312
2020-4-5,NY,8122
2020-4-6,NY,7976
2020-4-7,NY,9642
2020-4-8,NY,9568
2020-4-9,NY,10765
2020-4-10,NY,10794
2020-4-11,NY,10160
2020-4-12,NY,8435
2020-4-13,NY,6548
2020-4-14,NY,7402
2020-4-15,NY,11755
2020-4-16,NY,8631
2020-4-17,NY,7532
2020-4-18,NY,7249
2020-4-19,NY,6199
2020-4-20,NY,4867
2020-4-21,NY,4324
2020-4-22,NY,5659
2020-4-23,NY,6341
2020-4-24,NY,8286
2020-4-25,NY,10683
2020-4-26,NY,6013
2020-4-27,NY,4077
2020-4-28,NY,3285
2020-4-29,NY,4718
2020-4-30,NY,4702
2020-5-1,NY,3879
2020-5-2,NY,4559
2020-5-3,NY,3699
2020-5-4,NY,2524
2020-5-5,NY,2302
2020-5-6,NY,2746
2020-5-7,NY,3526
2020-5-8,NY,2873
2020-5-9,NY,2715
2020-5-10,NY,2138
2020-1-25,FL,0
2020-1-26,FL,0
2020-1-27,FL,0
2020-1-28,FL,0
2020-1-29,FL,0
2020-1-30,FL,0
2020-1-31,FL,0
2020-2-1,FL,0
2020-2-2,FL,0
2020-2-3,FL,0
2020-2-4,FL,0
2020-2-5,FL,0
2020-2-6,FL,0
2020-2-7,FL,0
2020-2-8,FL,0
2020-2-9,FL,0
2020-2-10,FL,0
2020-2-11,FL,0
2020-2-12,FL,0
2020-2-13,FL,0
2020-2-14,FL,0
2020-2-15,FL,0
2020-2-16,FL,0
2020-2-17,FL,0
2020-2-18,FL,0
2020-2-19,FL,0
2020-2-20,FL,0
2020-2-21,FL,0
2020-2-22,FL,0
2020-2-23,FL,0
2020-2-24,FL,0
2020-2-25,FL,0
2020-2-26,FL,0
2020-2-27,FL,0
2020-2-28,FL,0
2020-2-29,FL,0
2020-3-1,FL,0
2020-3-2,FL,0
2020-3-3,FL,1
2020-3-4,FL,0
2020-3-5,FL,1
2020-3-6,FL,3
2020-3-7,FL,5
2020-3-8,FL,1
2020-3-9,FL,1
2020-3-10,FL,9
2020-3-11,FL,3
2020-3-12,FL,20
2020-3-13,FL,24
2020-3-14,FL,0
2020-3-15,FL,39
2020-3-16,FL,32
2020-3-17,FL,69
2020-3-18,FL,116
2020-3-19,FL,108
2020-3-20,FL,130
2020-3-21,FL,200
2020-3-22,FL,236
2020-3-23,FL,222
2020-3-24,FL,245
2020-3-25,FL,498
2020-3-26,FL,512
2020-3-27,FL,721
2020-3-28,FL,840
2020-3-29,FL,904
2020-3-30,FL,752
2020-3-31,FL,1047
2020-4-1,FL,1024
2020-4-2,FL,1235
2020-4-3,FL,1260
2020-4-4,FL,1277
2020-4-5,FL,805
2020-4-6,FL,1279
2020-4-7,FL,1118
2020-4-8,FL,951
2020-4-9,FL,1129
2020-4-10,FL,1141
2020-4-11,FL,1018
2020-4-12,FL,877
2020-4-13,FL,1156
2020-4-14,FL,609
2020-4-15,FL,906
2020-4-16,FL,806
2020-4-17,FL,1413
2020-4-18,FL,739
2020-4-19,FL,822
2020-4-20,FL,744
2020-4-21,FL,811
2020-4-22,FL,440
2020-4-23,FL,1339
2020-4-24,FL,885
2020-4-25,FL,306
2020-4-26,FL,689
2020-4-27,FL,610
2020-4-28,FL,708
2020-4-29,FL,347
2020-4-30,FL,498
2020-5-1,FL,1037
2020-5-2,FL,735
2020-5-3,FL,615
2020-5-4,FL,819
2020-5-5,FL,542
2020-5-6,FL,563
2020-5-7,FL,826
2020-5-8,FL,371
2020-5-9,FL,802
2020-5-10,FL,595
2020-1-25,CA,0
2020-1-26,CA,0
2020-1-27,CA,0
2020-1-28,CA,0
2020-1-29,CA,0
2020-1-30,CA,0
2020-1-31,CA,1
2020-2-1,CA,0
2020-2-2,CA,3
2020-2-3,CA,0
2020-2-4,CA,0
2020-2-5,CA,0
2020-2-6,CA,0
2020-2-7,CA,0
2020-2-8,CA,0
2020-2-9,CA,0
2020-2-10,CA,1
2020-2-11,CA,0
2020-2-12,CA,0
2020-2-13,CA,0
2020-2-14,CA,0
2020-2-15,CA,0
2020-2-16,CA,0
2020-2-17,CA,0
2020-2-18,CA,0
2020-2-19,CA,0
2020-2-20,CA,1
2020-2-21,CA,1
2020-2-22,CA,0
2020-2-23,CA,0
2020-2-24,CA,2
2020-2-25,CA,0
2020-2-26,CA,15
2020-2-27,CA,0
2020-2-28,CA,1
2020-2-29,CA,1
2020-3-1,CA,5
2020-3-2,CA,5
2020-3-3,CA,7
2020-3-4,CA,10
2020-3-5,CA,12
2020-3-6,CA,14
2020-3-7,CA,19
2020-3-8,CA,12
2020-3-9,CA,60
2020-3-10,CA,7
2020-3-11,CA,23
2020-3-12,CA,50
2020-3-13,CA,68
2020-3-14,CA,61
2020-3-15,CA,97
2020-3-16,CA,110
2020-3-17,CA,144
2020-3-18,CA,161
2020-3-19,CA,174
