day,state,num_deaths
2020-2-28,NY,0
2020-2-29,NY,0
2020-3-1,NY,0
2020-3-2,NY,0
2020-3-3,NY,0
2020-3-4,NY,0
2020-3-5,NY,0
2020-3-6,NY,0
2020-3-7,NY,0
2020-3-8,NY,0
2020-3-9,NY,0
2020-3-10,NY,0
2020-3-11,NY,0
2020-3-12,NY,0
2020-3-13,NY,0
2020-3-14,NY,2
2020-3-15,NY,4
2020-3-16,NY,4
2020-3-17,NY,8
2020-3-18,NY,14
2020-3-19,NY,7
2020-3-20,NY,29
2020-3-21,NY,27
2020-3-22,NY,47
2020-3-23,NY,41
2020-3-24,NY,73
2020-3-25,NY,119
2020-3-26,NY,127
2020-3-27,NY,143
2020-3-28,NY,290
2020-3-29,NY,245
2020-3-30,NY,332
2020-3-31,NY,417
2020-4-1,NY,486
2020-4-2,NY,548
2020-4-3,NY,753
2020-4-4,NY,819
2020-4-5,NY,800
2020-4-6,NY,795
2020-4-7,NY,1055
2020-4-8,NY,953
2020-4-9,NY,1028
2020-4-10,NY,996
2020-4-11,NY,997
2020-4-12,NY,957
2020-4-13,NY,882
2020-4-14,NY,1003
2020-4-15,NY,936
2020-4-16,NY,732
2020-4-17,NY,804
2020-4-18,NY,668
2020-4-19,NY,652
2020-4-20,NY,619
2020-4-21,NY,628
2020-4-22,NY,607
2020-4-23,NY,565
2020-4-24,NY,547
2020-4-25,NY,567
2020-4-26,NY,478
2020-4-27,NY,463
2020-4-28,NY,510
2020-4-29,NY,510
2020-4-30,NY,329
2020-5-1,NY,225
2020-5-2,NY,194
2020-5-3,NY,541
2020-5-4,NY,212
2020-5-5,NY,240
2020-5-6,NY,928
2020-5-7,NY,250
2020-5-8,NY,152
2020-5-9,NY,226
2020-5-10,NY,214
2020-1-25,FL,0
2020-1-26,FL,0
2020-1-27,FL,0
2020-1-28,FL,0
2020-1-29,FL,0
2020-1-30,FL,0
2020-1-31,FL,0
2020-2-1,FL,0
2020-2-2,FL,0
2020-2-3,FL,0
2020-2-4,FL,0
2020-2-5,FL,0
2020-2-6,FL,0
2020-2-7,FL,0
2020-2-8,FL,0
2020-2-9,FL,0
2020-2-10,FL,0
2020-2-11,FL,0
2020-2-12,FL,0
2020-2-13,FL,0
2020-2-14,FL,0
2020-2-15,FL,0
2020-2-16,FL,0
2020-2-17,FL,0
2020-2-18,FL,0
2020-2-19,FL,0
2020-2-20,FL,0
2020-2-21,FL,0
2020-2-22,FL,0
2020-2-23,FL,0
2020-2-24,FL,0
2020-2-25,FL,0
2020-2-26,FL,0
2020-2-27,FL,0
2020-2-28,FL,0
2020-2-29,FL,0
2020-3-1,FL,0
2020-3-2,FL,0
2020-3-3,FL,0
2020-3-4,FL,0
2020-3-5,FL,0
2020-3-6,FL,2
2020-3-7,FL,0
2020-3-8,FL,0
2020-3-9,FL,0
2020-3-10,FL,0
2020-3-11,FL,0
2020-3-12,FL,0
2020-3-13,FL,0
2020-3-14,FL,1
2020-3-15,FL,0
2020-3-16,FL,1
2020-3-17,FL,2
2020-3-18,FL,1
2020-3-19,FL,1
2020-3-20,FL,1
2020-3-21,FL,2
2020-3-22,FL,2
2020-3-23,FL,5
2020-3-24,FL,1
2020-3-25,FL,4
2020-3-26,FL,6
2020-3-27,FL,17
2020-3-28,FL,10
2020-3-29,FL,3
2020-3-30,FL,12
2020-3-31,FL,14
2020-4-1,FL,15
2020-4-2,FL,44
2020-4-3,FL,25
2020-4-4,FL,25
2020-4-5,FL,26
2020-4-6,FL,33
2020-4-7,FL,42
2020-4-8,FL,27
2020-4-9,FL,48
2020-4-10,FL,48
2020-4-11,FL,27
2020-4-12,FL,15
2020-4-13,FL,38
2020-4-14,FL,72
2020-4-15,FL,43
2020-4-16,FL,54
2020-4-17,FL,58
2020-4-18,FL,22
2020-4-19,FL,26
2020-4-20,FL,49
2020-4-21,FL,44
2020-4-22,FL,60
2020-4-23,FL,60
2020-4-24,FL,59
2020-4-25,FL,9
2020-4-26,FL,19
2020-4-27,FL,14
2020-4-28,FL,83
2020-4-29,FL,46
2020-4-30,FL,51
2020-5-1,FL,46
2020-5-2,FL,50
2020-5-3,FL,15
2020-5-4,FL,20
2020-5-5,FL,72
2020-5-6,FL,68
2020-5-7,FL,61
2020-5-8,FL,69
2020-5-9,FL,46
2020-5-10,FL,6
2020-1-25,CA,0
2020-1-26,CA,0
2020-1-27,CA,0
2020-1-28,CA,0
2020-1-29,CA,0
2020-1-30,CA,0
